"id","first_name","last_name","known_name","squad","total_points","avg_points","last_3_avg","last_5_avg","high_score","low_score","last_match_points","owned_by"
"95786","Lass","Bangoura",,"VAN","35","2.06","1","1.4","6","0",,"0.02"
"85790","Botond","Barath",,"SKC","75","4.17","2","4.6","11","1","3","0.15"
"183764","Francisco","Barbosa de Lisboa","Robinho","ORL","72","2.88","2","1.6","10","1",,"1.12"
"231969","Ezequiel","Barco",,"ATL","74","5.69","5","4.2","15","1",,"0.32"
"234346","Tom","Barlow",,"NY","33","3","3.67","2.6","8","1","7","0.33"
"234311","Luis","Barraza",,"NYC","0","0","0","0","0","0",,"0.49"
"177653","Michael","Barrios",,"DAL","176","5.87","4","6.6","15","2","5","3.6"
"424488","Cole","Bassett",,"COL","57","3.17","4","3","11","0",,"1.6"
"247451","Lamar","Batista",,"LAFC","0","0","0","0","0","0",,"0.32"
"425622","Clement","Bayiha",,"MTL","20","2","1.33","1.2","7","1","1","1.69"
"12875","DaMarcus","Beasley",,"HOU","35","3.5","5","5","10","0","4","0.75"
"443433","Jason","Beaulieu",,"MTL","0","0","0","0","0","0",,"0.37"
"15517","Kyle","Beckerman",,"RSL","83","3.77","4","3.6","7","1",,"0.22"
"61770","Alejandro","Bedoya",,"PHI","136","4.53","4","3.8","10","1","3","0.84"
"213700","Daniel","Bedoya",,"NYC","1","1","1","1","1","1",,"0.08"
"82845","Steven","Beitashour",,"LAFC","110","4.78","1.67","3.4","16","0","0","1.15"
"426771","George","Bello",,"ATL","0","0","6.33","6.33","0","0",,"0.11"
"50136","Tony","Beltran",,"RSL","0","0","4","4.8","0","0",,"0.02"
"95611","Joe","Bendik",,"PHI","13","2.17","2","2.2","3","1",,"0.17"
"89038","Nicolas","Benezet",,"TOR","27","3.86","4.67","5","10","1",,"0.08"
"173614","Matt","Bersano",,"SJ","0","0","0","0","0","0",,"0.36"
"116700","Leonardo","Bertone",,"CIN","69","3","2.67","2.2","8","1","3","0.41"
"60207","Matt","Besler",,"SKC","99","3.96","0.33","3.6","11","-3","-3","0.49"
"202198","Nick","Besler",,"RSL","45","2.65","2.67","2.4","7","0",,"0.08"
"242216","Vincent","Bezecourt",,"NY","18","2.25","1.67","2","5","1",,"0.05"
