"id","first_name","known_name","last_name","Round","price","match_id","match_score","squad","Home Team","position","Minutes","Goals","Assists","Clean Sheet","Saves","Penalties Earned","Penalties Saved","Penalties Missed","Goals Conceded","Yellow Cards","Red Cards","Own Goals","Own Goal Assists","Shots","Was Fouled","Passes","Passes Completed","Crosses","Key Passes","Big Chances","Clearances","Blocks","Interceptions","Tackles","Balls Recovered","Errors Leading to a Goal"
"179384","Luciano",,"Acosta","1","10500000","1037590","15","DC","True","3","88","1","1","1","0","0","0","0","0","0","0","0","0","3","3","52","39","0","4","2","0","0","2","1","9","0"
"179384","Luciano",,"Acosta","2","11000000","1037596","3","DC","False","3","90","0","0","1","0","0","0","0","0","0","0","0","0","2","1","29","21","2","0","0","0","0","1","2","2","0"
"179384","Luciano",,"Acosta","3","11400000","1039875","7","DC","True","3","90","0","1","1","0","0","0","0","0","0","0","0","0","3","2","63","50","1","2","0","1","0","1","1","6","0"
"179384","Luciano",,"Acosta","8","10400000","1039913","5","DC","True","3","90","0","0","0","0","0","0","0","2","0","0","0","0","1","4","48","32","1","1","1","0","0","0","2","11","0"
"179384","Luciano",,"Acosta","9","10300000","1039916","5","DC","False","3","89","0","0","1","0","0","0","0","0","0","0","0","0","4","2","49","35","0","1","0","1","1","0","0","9","0"
"179384","Luciano",,"Acosta","17","10000000","1039932","6","DC","True","3","88","0","0","1","0","0","0","0","0","0","0","0","0","4","0","60","50","0","3","0","0","0","0","2","7","0"
"179384","Luciano",,"Acosta","17","10000000","1039945","4","DC","True","3","90","0","0","0","0","0","0","0","1","0","0","0","0","2","2","59","47","0","2","1","0","0","2","1","7","0"
"179384","Luciano",,"Acosta","9","10300000","1039949","3","DC","False","3","90","0","0","0","0","0","0","0","1","0","0","0","0","1","2","75","62","0","1","0","0","0","0","1","8","0"
"179384","Luciano",,"Acosta","10","9900000","1039962","9","DC","True","3","90","1","0","0","0","0","0","0","1","0","0","0","0","3","1","47","36","0","1","1","1","0","0","3","7","0"
"179384","Luciano",,"Acosta","18","9700000","1039984","-2","DC","False","3","15","0","0","0","0","0","0","0","1","0","1","0","0","1","2","10","8","0","0","0","0","0","0","0","2","0"
"179384","Luciano",,"Acosta","11","9900000","1040006","4","DC","True","3","90","0","0","1","0","0","0","0","0","0","0","0","0","2","0","46","33","0","0","0","0","0","1","3","7","0"
"179384","Luciano",,"Acosta","12","9800000","1040010","1","DC","False","3","42","0","0","1","0","0","0","0","0","0","0","0","0","0","1","18","14","0","0","0","1","0","2","2","2","0"
"179384","Luciano",,"Acosta","12","9800000","1040037","3","DC","False","3","90","0","0","0","0","0","0","0","2","0","0","0","0","0","0","47","33","0","2","0","0","0","0","3","6","0"
"179384","Luciano",,"Acosta","20","9300000","1040059","4","DC","False","3","88","0","0","1","0","0","0","0","0","0","0","0","0","1","1","30","23","1","2","1","0","0","0","1","3","0"
"179384","Luciano",,"Acosta","21","8800000","1040064","4","DC","False","3","90","0","0","1","0","0","0","0","0","0","0","0","0","4","0","45","34","1","1","0","1","0","0","0","5","0"
"179384","Luciano",,"Acosta","22","8400000","1040088","3","DC","True","3","90","0","0","0","0","0","0","0","5","0","0","0","0","2","0","37","28","0","2","1","0","0","0","0","1","0"
